Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2023-08-31 07:17:42,false,"Manor Cycling","42.28","1,485","02:39:10","132","175","15.9","32.9","1,768","1,709","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","71.6","No","00:07:47.9","9","95.0","02:37:24","03:18:25","400","665"
Cycling,2023-08-29 07:09:55,false,"Manor Cycling","52.01","2,047","03:27:15","137","176","15.1","34.8","2,211","2,123","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:08:07.9","11","96.8","03:24:31","04:14:48","293","689"
Cycling,2023-08-28 07:08:16,false,"Manor Cycling","30.80","1,078","01:57:25","133","171","15.7","32.5","1,368","1,293","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:03:50.6","7","91.4","01:56:02","02:19:06","391","660"
Cycling,2023-08-23 07:27:38,false,"Manor Cycling","41.92","1,497","02:42:39","129","175","15.5","32.3","2,054","2,100","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:07:06.7","9","95.0","02:40:26","03:37:51","260","630"
Cycling,2023-08-22 07:52:28,false,"Manor Cycling","30.93","1,225","01:55:45","140","172","16.0","34.8","1,555","1,673","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","86.0","No","00:03:51.4","7","95.0","01:55:02","02:10:17","352","667"
Cycling,2023-08-19 07:20:55,false,"Manor Cycling","50.15","1,847","03:10:00","137","182","15.8","33.9","2,172","2,136","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:00:45.9","11","96.8","03:08:58","03:45:22","394","732"
Cycling,2023-08-17 06:59:57,false,"Manor Cycling","45.07","1,683","02:58:40","137","175","15.1","33.2","2,448","2,326","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:00:23.6","10","96.8","02:56:22","03:33:41","371","744"
Cycling,2023-08-16 07:22:49,false,"Manor Cycling","31.31","1,320","01:56:28","145","177","16.1","32.7","1,335","1,293","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:04:56.9","7","91.4","01:55:45","02:13:47","304","639"
Cycling,2023-08-11 06:53:05,false,"Manor Cycling","31.97","1,323","02:00:31","143","175","15.9","36.4","1,512","1,565","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:06:38.1","7","91.4","01:59:10","02:23:07","337","621"
Cycling,2023-08-08 06:49:24,false,"Travis County Cycling","30.23","1,157","01:55:06","136","170","15.8","33.3","1,388","1,345","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:01:06.3","7","89.6","01:54:35","02:16:11","439","671"
